time;gFx;gFy;gFz;TgF
1,537000;-0,0210;0,0441;0,9942;0,995
1,543000;-0,0212;0,0444;0,9901;0,991
1,547000;-0,0182;0,0429;0,9847;0,986
1,562000;-0,0166;0,0397;0,9813;0,982
1,563000;-0,0144;0,0393;0,9838;0,985
1,564000;-0,0164;0,0377;0,9881;0,989
1,582000;-0,0177;0,0360;0,9902;0,991
1,583000;-0,0154;0,0355;0,9907;0,991
1,584000;-0,0143;0,0336;0,9953;0,996
1,585000;-0,0199;0,0303;0,9941;0,995
1,587000;-0,0201;0,0313;0,9906;0,991
1,593000;-0,0198;0,0272;0,9879;0,988
1,597000;-0,0220;0,0315;0,9858;0,987
1,602000;-0,0165;0,0294;0,9882;0,989
1,607000;-0,0181;0,0293;0,9898;0,990
1,612000;-0,0153;0,0250;0,9893;0,990
1,620000;-0,0139;0,0221;0,9898;0,990
1,623000;-0,0146;0,0259;0,9862;0,987
1,627000;-0,0162;0,0234;0,9837;0,984
1,632000;-0,0156;0,0255;0,9906;0,991
1,642000;-0,0177;0,0210;0,9921;0,993
1,643000;-0,0164;0,0209;0,9961;0,996
1,649000;-0,0175;0,0164;0,9986;0,999
1,663000;-0,0203;0,0151;0,9981;0,998
1,664000;-0,0200;0,0205;0,9910;0,991
1,665000;-0,0197;0,0218;0,9885;0,989
1,673000;-0,0192;0,0214;0,9859;0,986
1,674000;-0,0176;0,0193;0,9829;0,983
1,676000;-0,0170;0,0190;0,9809;0,981
1,681000;-0,0157;0,0181;0,9852;0,985
1,687000;-0,0159;0,0154;0,9854;0,986
1,692000;-0,0177;0,0211;0,9898;0,990
1,696000;-0,0159;0,0216;0,9913;0,992
1,702000;-0,0179;0,0203;0,9931;0,993
1,706000;-0,0204;0,0250;0,9925;0,993
1,711000;-0,0200;0,0244;0,9936;0,994
1,720000;-0,0171;0,0272;0,9892;0,990
1,721000;-0,0175;0,0264;0,9838;0,984
1,727000;-0,0192;0,0291;0,9832;0,984
1,731000;-0,0183;0,0280;0,9799;0,980
1,737000;-0,0172;0,0256;0,9888;0,989
1,741000;-0,0192;0,0264;0,9919;0,992
1,746000;-0,0198;0,0271;0,9931;0,994
1,763000;-0,0182;0,0266;0,9904;0,991
1,764000;-0,0159;0,0256;0,9888;0,989
1,765000;-0,0173;0,0264;0,9904;0,991
1,769000;-0,0192;0,0287;0,9885;0,989
1,771000;-0,0159;0,0317;0,9859;0,987
1,777000;-0,0168;0,0324;0,9897;0,990
1,781000;-0,0203;0,0315;0,9923;0,993
1,787000;-0,0162;0,0325;0,9885;0,989
1,791000;-0,0190;0,0360;0,9897;0,991
1,796000;-0,0206;0,0374;0,9888;0,990
1,801000;-0,0175;0,0390;0,9863;0,987
1,807000;-0,0165;0,0380;0,9886;0,989
1,811000;-0,0186;0,0379;0,9873;0,988
1,816000;-0,0172;0,0386;0,9866;0,988
1,821000;-0,0171;0,0372;0,9892;0,990
1,826000;-0,0176;0,0392;0,9871;0,988
1,830000;-0,0173;0,0425;0,9874;0,988
1,845000;-0,0168;0,0430;0,9888;0,990
1,846000;-0,0175;0,0471;0,9865;0,988
1,848000;-0,0166;0,0498;0,9902;0,992
1,860000;-0,0195;0,0534;0,9908;0,992
1,861000;-0,0155;0,0537;0,9902;0,992
1,862000;-0,0186;0,0508;0,9868;0,988
1,866000;-0,0168;0,0556;0,9851;0,987
1,871000;-0,0161;0,0564;0,9869;0,989
1,875000;-0,0172;0,0517;0,9816;0,983
1,880000;-0,0150;0,0475;0,9853;0,987
1,886000;-0,0151;0,0474;0,9880;0,989
1,890000;-0,0167;0,0465;0,9924;0,994
1,895000;-0,0173;0,0458;0,9950;0,996
1,903000;-0,0151;0,0446;0,9941;0,995
1,905000;-0,0175;0,0480;0,9931;0,994
1,909000;-0,0168;0,0501;0,9917;0,993
1,915000;-0,0146;0,0512;0,9914;0,993
1,920000;-0,0142;0,0508;0,9857;0,987
1,925000;-0,0151;0,0521;0,9796;0,981
1,929000;-0,0176;0,0518;0,9788;0,980
1,944000;-0,0179;0,0514;0,9830;0,984
1,945000;-0,0161;0,0517;0,9873;0,989
1,946000;-0,0184;0,0551;0,9914;0,993
1,961000;-0,0187;0,0530;0,9954;0,997
1,963000;-0,0179;0,0541;0,9939;0,995
1,963000;-0,0183;0,0477;0,9926;0,994
1,965000;-0,0204;0,0476;0,9853;0,987
1,972000;-0,0168;0,0475;0,9787;0,980
1,975000;-0,0162;0,0480;0,9833;0,985
1,979000;-0,0176;0,0468;0,9875;0,989
1,986000;-0,0122;0,0457;0,9869;0,988
1,989000;-0,0149;0,0442;0,9855;0,987
1,994000;-0,0162;0,0426;0,9858;0,987
1,999000;-0,0132;0,0415;0,9888;0,990
2,004000;-0,0155;0,0385;0,9930;0,994
2,009000;-0,0177;0,0383;0,9920;0,993
2,015000;-0,0195;0,0387;1,0002;1,001
2,020000;-0,0183;0,0410;1,0020;1,003
2,024000;-0,0189;0,0397;0,9932;0,994
2,028000;-0,0192;0,0409;0,9974;0,998
2,034000;-0,0188;0,0404;0,9925;0,994
2,046000;-0,0155;0,0438;0,9864;0,987
2,048000;-0,0166;0,0432;0,9837;0,985
2,048000;-0,0159;0,0438;0,9787;0,980
2,063000;-0,0148;0,0457;0,9827;0,984
2,064000;-0,0199;0,0447;0,9870;0,988
2,065000;-0,0170;0,0447;0,9921;0,993
2,074000;-0,0175;0,0440;0,9929;0,994
2,075000;-0,0144;0,0426;0,9952;0,996
2,078000;-0,0164;0,0386;0,9914;0,992
2,087000;-0,0172;0,0387;0,9885;0,989
2,089000;-0,0190;0,0379;0,9904;0,991
2,094000;-0,0199;0,0379;0,9909;0,992
2,099000;-0,0188;0,0382;0,9907;0,992
2,104000;-0,0170;0,0400;0,9853;0,986
2,108000;-0,0154;0,0385;0,9858;0,987
2,113000;-0,0201;0,0355;0,9879;0,989
2,120000;-0,0182;0,0348;0,9891;0,990
2,124000;-0,0161;0,0385;0,9870;0,988
2,128000;-0,0164;0,0400;0,9865;0,987
2,133000;-0,0179;0,0411;0,9904;0,991
2,139000;-0,0179;0,0427;0,9909;0,992
2,143000;-0,0200;0,0430;0,9908;0,992
2,149000;-0,0188;0,0485;0,9886;0,990
2,163000;-0,0181;0,0440;0,9836;0,985
2,164000;-0,0165;0,0457;0,9811;0,982
2,165000;-0,0171;0,0447;0,9833;0,985
2,170000;-0,0144;0,0429;0,9842;0,985
2,185000;-0,0159;0,0419;0,9827;0,984
2,187000;-0,0167;0,0392;0,9855;0,986
2,188000;-0,0173;0,0377;0,9906;0,991
2,189000;-0,0176;0,0409;0,9958;0,997
2,193000;-0,0209;0,0455;0,9954;0,997
2,198000;-0,0205;0,0416;0,9937;0,995
2,203000;-0,0166;0,0431;0,9874;0,988
2,207000;-0,0166;0,0446;0,9846;0,986
2,213000;-0,0167;0,0409;0,9782;0,979
2,217000;-0,0140;0,0436;0,9846;0,986
2,223000;-0,0155;0,0429;0,9854;0,986
2,227000;-0,0134;0,0457;0,9869;0,988
2,232000;-0,0162;0,0438;0,9917;0,993
2,244000;-0,0176;0,0392;0,9906;0,991
2,245000;-0,0200;0,0474;0,9886;0,990
2,247000;-0,0186;0,0438;0,9917;0,993
2,266000;-0,0167;0,0440;0,9913;0,992
2,268000;-0,0193;0,0443;0,9930;0,994
2,269000;-0,0183;0,0436;0,9876;0,989
2,269000;-0,0186;0,0454;0,9840;0,985
2,273000;-0,0156;0,0441;0,9819;0,983
2,277000;-0,0151;0,0466;0,9819;0,983
2,282000;-0,0177;0,0435;0,9831;0,984
2,287000;-0,0173;0,0441;0,9879;0,989
2,292000;-0,0160;0,0405;0,9858;0,987
2,297000;-0,0167;0,0424;0,9869;0,988
2,303000;-0,0153;0,0457;0,9919;0,993
2,307000;-0,0182;0,0484;0,9956;0,997
2,311000;-0,0193;0,0451;0,9942;0,995
2,317000;-0,0210;0,0427;0,9956;0,997
2,322000;-0,0197;0,0457;0,9920;0,993
2,327000;-0,0179;0,0447;0,9907;0,992
2,332000;-0,0198;0,0433;0,9888;0,990
2,346000;-0,0172;0,0415;0,9887;0,990
2,347000;-0,0151;0,0421;0,9890;0,990
